name,cuisine,rating,no_of_reviews,price_range,user_id,description,place_id,about
St. Regis Restaurant,International,4.60,512,4,0,"located within the Park Tower, a Luxury Collection Hotel in BuenosAires, at Av. Leandro N. Alem 1193. ",11.00,"{""Service options"": {""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}}"
The Argentine Experience,Argentinian  ,4.60,534,4,0,a well-regarded restaurant located at Fitz Roy 2110,12.00,"{""Service options"": {""Dine-in"": true, ""Delivery"": false, ""Takeaway"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
Broccolino,Italian  ,4.40,6841,2,0," Esmeralda 776, C1007 ABH, BuenosAires  BuenosAires, Argentina  Broccolino is an Italian restaurant known for its extensive menu, including pasta, meats, seafood, and pizza, providing a taste of Italy in the heart of BuenosAires.",13.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Coffee"": true, ""Healthy options"": true, ""Organic dishes"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
Delhi Mahal,Indian  ,4.30,2125,2,0,0,14.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible seating"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Healthy options"": true, ""Late-night food"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}}"
BuenosAires Grill,Argentinian  ,4.10,4695,2,0," Junín 1704, BuenosAires
 BuenosAires, Argentina
 BuenosAires Grill is a traditional Argentine steakhouse, providing delicious grilled meats and classic Argentinian dishes",15.00,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Sport"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Late-night food"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
La Cabrera,Argentinian  ,4.40,18371,3,0,"Easygoing Argentinian restaurant specializing in grilled meats, with wood-lined decor & a terrace.",16.00,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true, ""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy-hour drinks"": true, ""Healthy options"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
La Cabaña Restaurant,Argentinian  ,4.20,1905,4,0," Rodríguez Peña 1967, BuenosAires
 BuenosAires, Argentina
 La Cabaña is a renowned steakhouse with a history dating back to 1935, offering top-quality steaks and a classic Argentinian dining experience.",17.00,"{""Service options"": {""Outdoor seating"": true, ""Kerbside pickup"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Rooftop seating"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy-hour drinks"": true, ""Late-night food"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
Club del Progreso Restaurante Parrilla BuenosAires,Argentinian  ,3.90,5845,3,0," Calle Sarmiento 1334, BuenosAires
 BuenosAires, Argentina
 Club del Progreso Restaurante Parrilla BuenosAires is located within a historic club and offers a unique atmosphere for dining.",18.00,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Outdoor seating"": true, ""Kerbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Rooftop seating"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy-hour drinks"": true, ""Happy-hour food"": true, ""Late-night food"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Gender-neutral toilets"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}, ""Other"": {""Identifies as women-owned"": true}}"
Javi's Parrilla Restaurant & Cafeteria,Steak house,4.50,612,0,0," Bolívar 981, BuenosAires
 BuenosAires, Argentina
 Javi's Parrilla is a local favorite for its grilled meats and traditional Argentinian cuisine.",19.00,"{""Service options"": {""Kerbside pickup"": true, ""No-contact delivery"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
Tierra Restaurante BA,Spanish  ,4.20,174,4,0," Bolívar 881, BuenosAires
 BuenosAires, Argentina
 Tierra Restaurante BA is known for its farm-to-table concept, offering fresh and locally sourced ingredients in their dishes.",20.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""High chairs"": true}}"
Donnet,Vegan  ,4.30,1008,2,0," Bolívar 995, BuenosAires
 BuenosAires, Argentina
 Donnet is a charming restaurant that combines traditional and contemporary Argentinian flavors in its menu.",21.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
CORE Italian Street Food (Maipu),Italian  ,4.50,930,2,0," Maipú 461, BuenosAires
 BuenosAires, Argentina
 CORE Italian Street Food is a casual dining spot known for its Italian street food offerings, including pizza and pasta",22.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible seating"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Salad bar"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""High chairs"": true}}"
Almacén & Restaurant Suipacha,Argentinian  ,4.10,4494,2,0," Suipacha 472, BuenosAires
 BuenosAires, Argentina
 Almacén & Restaurant Suipacha offers a blend of local and international cuisine in a cozy and inviting setting.",23.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
Restoian,Armenian  ,3.70,6,0,0," San Martín 922, BuenosAires
 BuenosAires, Argentina
 Restoian is a versatile restaurant serving a variety of dishes, including traditional Argentinian options and international flavors.",24.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Atmosphere"": {""Casual"": true}}"
Patio 378 Restaurante & Bar,Mediterranean  ,4.30,391,3,0," Calle México 378, San Telmo, BuenosAires
 BuenosAires, Argentina
 Patio 378 is located in the historic San Telmo neighborhood and offers a charming courtyard dining experience, often accompanied by live music.",25.00,"{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""High chairs"": true}}"
ABC RESTAURANT,European,4.20,409,2,0," Av. Leandro N. Alem 1110, BuenosAires
 BuenosAires, Argentina
 ABC RESTAURANT is situated in the heart of BuenosAires and is known for its international cuisine, serving a diverse range of dishes.",26.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Cocktails"": true, ""Coffee"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
